VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,2017-01-01 07:26:43,2017-01-01 07:51:46,1,15.00,3,N,186,1,2,58.5,0,0,0,10.5,0.3,69.3
1,2017-01-01 07:19:59,2017-01-01 07:32:21,1,3.50,1,N,144,181,2,13.5,0,0.5,0,0,0.3,14.3
2,2017-01-01 07:20:13,2017-01-01 07:23:21,1,1.14,1,N,170,186,2,5,0,0.5,0,0,0.3,5.8
1,2017-01-01 07:27:55,2017-01-01 07:42:06,2,3.90,1,N,37,144,2,15,0,0.5,0,0,0.3,15.8
2,2017-01-01 07:06:38,2017-01-01 07:30:05,1,12.12,1,N,68,138,1,35,0,0.5,7.16,0,0.3,42.96
1,2017-01-01 06:54:11,2017-01-01 07:18:38,4,7.70,1,N,48,17,1,25,0,0.5,0,0,0.3,25.8
1,2017-01-01 07:09:37,2017-01-01 07:18:41,2,3.70,1,N,79,262,2,12,0,0.5,0,0,0.3,12.8
2,2017-01-01 07:21:02,2017-01-01 07:27:47,1,2.74,1,N,126,250,2,10,0,0.5,0,0,0.3,10.8
1,2017-01-01 07:22:30,2017-01-01 07:29:04,3,1.40,1,N,48,90,1,7,0,0.5,1.55,0,0.3,9.35
1,2017-01-01 00:00:21,2017-01-01 00:12:09,1,6.90,1,N,138,80,2,20,0.5,0.5,0,0,0.3,21.3
1,2017-01-01 07:20:01,2017-01-01 07:25:42,1,1.80,1,N,263,43,1,7,0,0.5,1,0,0.3,8.8
2,2017-01-01 07:09:29,2017-01-01 07:16:31,1,1.66,1,N,239,238,1,8,0,0.5,1.76,0,0.3,10.56
2,2017-01-01 07:26:51,2017-01-01 07:32:21,1,.66,1,N,148,79,1,5.5,0,0.5,0,0,0.3,6.3
2,2017-01-01 07:07:15,2017-01-01 07:13:31,1,3.11,1,N,162,74,2,10,0,0.5,0,0,0.3,10.8
1,2017-01-01 07:27:58,2017-01-01 07:33:40,1,1.70,1,N,43,48,1,7,0,0.5,1.55,0,0.3,9.35
1,2017-01-09 11:13:28,2017-01-09 11:25:45,1,3.30,1,N,263,161,1,12.5,0,0.5,2,0,0.3,15.3
1,2017-01-01 07:17:13,2017-01-01 07:39:58,4,15.80,1,N,261,138,2,42,0,0.5,0,5.54,0.3,48.34
1,2017-01-01 07:25:59,2017-01-01 07:48:31,2,6.00,1,N,148,61,2,21,0,0.5,0,0,0.3,21.8
1,2017-01-01 00:01:10,2017-01-01 00:06:32,1,1.00,1,N,116,244,2,6,0.5,0.5,0,0,0.3,7.3
2,2017-01-01 07:00:25,2017-01-01 07:02:45,1,1.10,1,N,233,137,1,5,0,0.5,1.16,0,0.3,6.96
1,2017-01-01 07:31:23,2017-01-01 07:46:25,2,5.60,1,N,107,179,1,18.5,0,0.5,3.85,0,0.3,23.15
1,2017-01-01 07:03:46,2017-01-01 07:16:49,1,3.80,1,N,260,233,2,14.5,0,0.5,0,0,0.3,15.3
2,2017-01-01 07:28:04,2017-01-01 07:32:05,1,.74,1,N,79,224,2,5,0,0.5,0,0,0.3,5.8
1,2017-01-01 06:57:50,2017-01-01 07:10:38,1,3.90,1,N,186,75,2,13.5,0,0.5,0,0,0.3,14.3
2,2017-01-01 07:28:38,2017-01-01 07:47:22,1,14.11,2,N,215,249,1,52,0,0.5,11.67,5.54,0.3,70.01
2,2017-01-01 07:26:21,2017-01-01 07:42:04,2,4.92,1,N,116,237,2,17.5,0,0.5,0,0,0.3,18.3
1,2017-01-01 07:21:43,2017-01-01 07:22:07,1,.80,1,N,144,211,3,2.5,0,0.5,0,0,0.3,3.3
2,2017-01-01 07:26:55,2017-01-01 07:31:07,1,1.41,1,N,229,137,1,6,0,0.5,1.2,0,0.3,8
2,2017-01-01 07:31:22,2017-01-01 07:39:47,3,2.06,1,N,239,263,2,9,0,0.5,0,0,0.3,9.8
1,2017-01-01 07:24:30,2017-01-01 07:25:39,1,.30,1,N,264,264,2,3,0,0.5,0,0,0.3,3.8
2,2017-01-01 07:27:09,2017-01-01 07:42:16,3,7.94,1,N,161,69,2,23,0,0.5,0,0,0.3,23.8
2,2017-01-01 07:27:09,2017-01-01 07:30:21,1,1.31,1,N,79,137,2,5.5,0,0.5,0,0,0.3,6.3
1,2017-01-01 06:54:31,2017-01-01 07:05:08,3,5.60,1,N,236,232,2,17,0,0.5,0,0,0.3,17.8
2,2017-01-01 07:19:07,2017-01-01 07:25:39,1,1.25,1,N,107,186,2,7,0,0.5,0,0,0.3,7.8
1,2017-01-01 07:23:10,2017-01-01 07:31:33,2,4.00,1,N,138,7,1,13,0,0.5,1.5,0,0.3,15.3
2,2017-01-01 06:56:40,2017-01-01 07:39:01,1,12.14,5,N,62,132,2,52,0,0,0,0,0.3,56.2
2,2017-01-01 07:38:07,2017-01-01 07:59:00,1,11.11,1,N,37,42,1,32.5,0,0.5,0,0,0.3,33.3
2,2017-01-01 07:00:14,2017-01-01 07:20:54,2,6.12,1,N,48,232,1,21,0,0.5,4.36,0,0.3,26.16
1,2017-01-01 07:13:40,2017-01-01 07:33:06,1,9.00,1,N,89,80,1,27.5,0,0.5,2,0,0.3,30.3
1,2017-01-01 07:05:40,2017-01-01 07:12:27,1,2.00,1,N,237,75,1,8,0,0.5,1,0,0.3,9.8
1,2017-01-01 07:02:27,2017-01-01 07:20:01,2,10.80,1,N,161,138,2,30.5,0,0.5,0,5.54,0.3,36.84
2,2017-01-01 07:23:42,2017-01-01 07:33:32,2,2.39,1,N,141,48,1,10,0,0.5,2.16,0,0.3,12.96
2,2017-01-01 07:25:15,2017-01-01 07:37:43,1,8.99,1,N,170,138,1,25,0,0.5,6.27,5.54,0.3,37.61
1,2017-01-01 07:03:12,2017-01-01 07:06:11,2,1.10,1,N,107,79,1,5,0,0.5,1,0,0.3,6.8
2,2017-01-01 07:00:19,2017-01-01 07:07:30,4,3.31,1,N,129,70,1,11.5,0,0.5,0,0,0.3,12.3
2,2017-01-01 07:18:48,2017-01-01 07:20:26,5,.17,1,N,262,262,2,3,0,0.5,0,0,0.3,3.8
2,2017-01-01 07:15:49,2017-01-01 07:37:53,1,7.24,1,N,161,62,2,23.5,0,0.5,0,0,0.3,24.3
2,2017-01-01 00:01:40,2017-01-01 00:07:49,6,1.18,1,N,234,170,2,6,0.5,0.5,0,0,0.3,7.3
2,2017-01-01 07:07:24,2017-01-01 07:11:07,2,.65,1,N,246,100,1,5,0,0.5,1.16,0,0.3,6.96
1,2017-01-01 06:55:55,2017-01-01 07:01:34,1,1.60,1,N,164,68,2,7,0,0.5,0,0,0.3,7.8
2,2017-01-01 07:19:56,2017-01-01 07:40:11,1,16.31,2,N,170,132,2,52,0,0.5,0,5.54,0.3,58.34
2,2017-01-01 07:06:16,2017-01-01 07:10:35,1,.65,1,N,79,148,1,5,0,0.5,1.45,0,0.3,7.25
1,2017-01-01 07:20:01,2017-01-01 07:25:42,1,1.80,1,N,263,43,1,7,0,0.5,1,0,0.3,8.8
1,2017-01-01 07:22:53,2017-01-01 07:42:18,1,7.10,1,N,140,80,1,23,0,0.5,4.75,0,0.3,28.55
2,2017-01-01 07:26:49,2017-01-01 07:30:46,1,1.69,1,N,249,186,2,6.5,0,0.5,0,0,0.3,7.3
2,2017-01-01 07:27:05,2017-01-01 07:27:44,3,.26,1,N,264,264,2,3,0,0.5,0,0,0.3,3.8
2,2017-01-01 07:10:46,2017-01-01 07:19:55,1,2.92,1,N,107,230,2,10.5,0,0.5,0,0,0.3,11.3
1,2017-01-01 07:30:38,2017-01-01 07:49:25,1,8.70,1,N,95,164,1,26.5,0,0.5,3,5.54,0.3,35.84
2,2017-01-01 07:13:04,2017-01-01 07:24:55,1,2.63,1,N,88,107,1,11,0,0.5,2.36,0,0.3,14.16
2,2017-01-01 07:10:57,2017-01-01 07:19:22,4,1.49,1,N,75,41,2,8,0,0.5,0,0,0.3,8.8
2,2017-01-01 07:27:00,2017-01-01 07:40:53,1,6.87,1,N,48,116,1,21.5,0,0.5,4.46,0,0.3,26.76
1,2017-01-01 07:31:13,2017-01-01 07:51:28,1,14.80,1,N,138,211,2,40,0,0.5,0,0,0.3,40.8
1,2017-01-01 07:02:47,2017-01-01 07:07:59,1,1.90,1,N,107,233,2,7.5,0,0.5,0,0,0.3,8.3
2,2017-01-01 07:32:36,2017-01-01 07:38:26,1,1.38,1,N,148,231,2,7,0,0.5,0,0,0.3,7.8
1,2017-01-01 06:54:11,2017-01-01 06:59:34,1,2.00,1,N,50,239,1,7.5,0,0.5,1.65,0,0.3,9.95
2,2017-01-01 07:29:15,2017-01-01 07:33:42,1,1.41,1,N,48,163,1,6,0,0.5,0,0,0.3,6.8
2,2017-01-01 07:26:12,2017-01-01 07:42:54,1,8.95,1,N,186,265,1,26,0,0.5,5,10.5,0.3,42.3
1,2017-01-01 07:08:43,2017-01-01 07:34:38,1,13.80,1,N,113,28,2,39,0,0.5,0,0,0.3,39.8
1,2017-01-01 06:55:11,2017-01-01 07:07:01,1,8.00,1,N,33,140,2,22.5,0,0.5,0,0,0.3,23.3
1,2017-01-01 07:12:17,2017-01-01 07:33:44,1,16.80,2,N,107,132,2,52,0,0.5,0,5.54,0.3,58.34
1,2017-01-01 07:11:16,2017-01-01 07:40:27,3,18.60,2,N,132,48,1,52,0,0.5,0,5.54,0.3,58.34
2,2017-01-01 07:22:47,2017-01-01 07:41:19,2,5.25,1,N,161,112,2,17.5,0,0.5,0,0,0.3,18.3
1,2017-01-01 07:21:32,2017-01-01 07:25:11,1,.90,1,N,234,68,1,5,0,0.5,1.15,0,0.3,6.95
2,2017-01-01 07:24:49,2017-01-01 07:30:20,1,1.59,1,N,113,170,1,7.5,0,0.5,2.08,0,0.3,10.38
1,2017-01-01 07:27:50,2017-01-01 07:30:43,1,1.00,1,N,75,236,2,5,0,0.5,0,0,0.3,5.8
2,2017-01-01 07:29:34,2017-01-01 07:35:41,1,1.64,1,N,48,239,2,7.5,0,0.5,0,0,0.3,8.3
1,2017-01-01 07:15:50,2017-01-01 07:46:09,1,9.90,1,N,50,61,2,31.5,0,0.5,0,0,0.3,32.3
2,2017-01-01 07:26:22,2017-01-01 07:38:42,3,4.31,1,N,50,146,2,14.5,0,0.5,0,0,0.3,15.3
2,2017-01-01 07:27:27,2017-01-01 07:31:10,2,.76,1,N,48,186,3,-5,0,-0.5,0,0,-0.3,-5.8
2,2017-01-01 07:29:04,2017-01-01 07:42:26,1,9.74,1,N,132,56,1,27,0,0.5,0,0,0.3,27.8
2,2017-01-01 07:22:09,2017-01-01 07:28:04,1,2.26,1,N,75,237,1,8.5,0,0.5,1.7,0,0.3,11
2,2017-01-01 07:15:48,2017-01-01 07:21:46,2,1.75,1,N,170,141,1,7.5,0,0.5,1.66,0,0.3,9.96
1,2017-01-01 06:54:35,2017-01-01 06:55:53,1,.30,1,N,163,230,2,3,0,0.5,0,0,0.3,3.8
2,2017-01-01 07:23:15,2017-01-01 07:38:21,1,3.00,1,N,164,163,2,13,0,0.5,0,0,0.3,13.8
1,2017-01-01 07:15:29,2017-01-01 07:36:27,1,9.40,1,N,48,228,2,27.5,0,0.5,0,5.54,0.3,33.84
1,2017-01-01 07:22:37,2017-01-01 07:25:51,1,1.10,1,N,229,140,1,5,0,0.5,0.5,0,0.3,6.3
2,2017-01-01 07:14:54,2017-01-01 07:30:21,1,3.42,1,N,226,129,2,14.5,0,0.5,0,0,0.3,15.3
2,2017-01-01 07:09:33,2017-01-01 07:16:11,1,1.73,1,N,50,48,2,7.5,0,0.5,0,0,0.3,8.3
1,2017-01-01 06:57:36,2017-01-01 07:01:27,1,.70,1,N,50,143,1,5,0,0.5,0.87,0,0.3,6.67
2,2017-01-01 07:28:20,2017-01-01 07:46:59,1,5.33,1,N,231,107,2,20,0,0.5,0,0,0.3,20.8
2,2017-01-01 07:15:57,2017-01-01 07:30:22,5,4.70,1,N,48,226,2,15.5,0,0.5,0,0,0.3,16.3
2,2017-01-01 07:37:27,2017-01-01 07:52:34,1,5.27,1,N,87,68,1,17,0,0.5,0,0,0.3,17.8
1,2017-01-01 07:02:53,2017-01-01 07:13:14,1,3.50,1,N,79,87,1,12.5,0,0.5,2.65,0,0.3,15.95
2,2017-01-01 07:15:51,2017-01-01 07:20:52,2,.69,1,N,41,42,2,5.5,0,0.5,0,0,0.3,6.3
1,2017-01-01 06:58:07,2017-01-01 07:04:51,2,1.70,1,N,161,79,2,7.5,0,0.5,0,0,0.3,8.3
1,2017-01-01 07:02:54,2017-01-01 07:13:16,2,2.00,1,N,162,186,2,9.5,0,0.5,0,0,0.3,10.3
1,2017-01-01 07:27:09,2017-01-01 07:31:22,1,1.50,1,N,107,162,1,6.5,0,0.5,2,0,0.3,9.3
1,2017-01-01 06:55:26,2017-01-01 07:12:50,1,11.20,1,N,186,200,1,31.5,0,0.5,6.95,2.45,0.3,41.7
1,2017-01-01 07:27:27,2017-01-01 07:29:26,1,.60,1,N,239,238,2,4,0,0.5,0,0,0.3,4.8
1,2017-01-01 00:00:48,2017-01-01 00:43:38,1,20.30,1,N,132,61,1,58,0.5,0.5,5,0,0.3,64.3
1,2017-01-01 07:22:12,2017-01-01 07:48:03,2,17.50,3,N,170,1,2,64.5,0,0,0,10.5,0.3,75.3
1,2017-01-01 06:58:49,2017-01-01 07:07:47,1,1.80,1,N,140,75,1,9,0,0.5,1.95,0,0.3,11.75
1,2017-01-01 07:32:02,2017-01-01 07:37:13,1,1.00,1,N,113,4,2,6,0,0.5,0,0,0.3,6.8
1,2017-01-01 06:56:52,2017-01-01 07:00:51,1,.70,1,N,75,75,1,5,0,0.5,1.15,0,0.3,6.95
1,2017-01-01 07:37:31,2017-01-01 07:37:39,1,.00,1,N,129,129,2,2.5,0,0.5,0,0,0.3,3.3
2,2017-01-01 07:02:17,2017-01-01 07:15:33,1,1.85,1,N,143,238,1,11,0,0.5,2.36,0,0.3,14.16
1,2017-01-01 06:59:19,2017-01-01 07:00:43,1,.10,1,N,262,262,1,3,0,0.5,1.1,0,0.3,4.9
2,2017-01-01 07:07:52,2017-01-01 07:29:27,1,11.12,1,N,230,138,1,32,0,0.5,7.67,5.54,0.3,46.01
2,2017-01-01 07:19:30,2017-01-01 07:46:17,1,14.81,1,N,262,130,1,42,0,0.5,10.7,0,0.3,53.5
2,2017-01-01 06:58:47,2017-01-01 07:05:32,1,1.55,1,N,137,79,2,7.5,0,0.5,0,0,0.3,8.3
2,2017-01-01 00:00:31,2017-01-01 00:11:48,1,.10,1,N,264,264,2,8,0.5,0.5,0,0,0.3,9.3
2,2017-01-01 07:18:18,2017-01-01 07:34:33,1,10.63,1,N,162,138,1,30,0,0.5,7.27,5.54,0.3,43.61
2,2017-01-01 07:23:40,2017-01-01 07:33:29,1,2.79,1,N,36,17,2,10.5,0,0.5,0,0,0.3,11.3
1,2017-01-01 07:35:33,2017-01-01 07:40:11,1,1.70,1,N,234,211,1,7,0,0.5,2.3,0,0.3,10.1
2,2017-01-01 07:10:43,2017-01-01 07:28:43,3,5.62,1,N,48,223,2,18.5,0,0.5,0,0,0.3,19.3
2,2017-01-01 06:59:10,2017-01-01 07:25:05,3,18.24,5,N,230,1,2,75,0,0.5,0,16.38,0.3,92.18
1,2017-01-01 06:56:52,2017-01-01 07:00:51,1,.70,1,N,75,75,1,5,0,0.5,1.15,0,0.3,6.95
2,2017-01-01 07:11:16,2017-01-01 07:23:28,1,3.14,1,N,91,133,2,12.5,0,0.5,0,0,0.3,13.3
2,2017-01-01 06:59:08,2017-01-01 07:03:07,1,.72,1,N,141,140,2,5,0,0.5,0,0,0.3,5.8
2,2017-01-01 07:18:22,2017-01-01 07:35:09,1,6.32,1,N,129,129,2,20,0,0.5,0,0,0.3,20.8
2,2017-01-01 07:21:28,2017-01-01 07:35:40,1,3.67,1,N,79,37,2,14.5,0,0.5,0,0,0.3,15.3
2,2017-01-01 07:16:12,2017-01-01 07:28:49,2,4.98,1,N,79,238,1,15.5,0,0.5,3.26,0,0.3,19.56
2,2017-01-01 07:19:37,2017-01-01 07:25:43,1,1.73,1,N,237,236,2,8,0,0.5,0,0,0.3,8.8
2,2017-01-01 07:28:57,2017-01-01 07:49:58,6,12.51,1,N,48,78,2,35,0,0.5,0,0,0.3,35.8
2,2017-01-01 00:01:30,2017-01-01 00:15:21,2,2.34,1,N,231,234,2,11,0.5,0.5,0,0,0.3,12.3
2,2017-01-01 07:27:27,2017-01-01 07:55:10,1,18.22,2,N,132,230,1,52,0,0.5,8,5.54,0.3,66.34
1,2017-01-01 07:05:42,2017-01-01 07:16:12,1,3.20,1,N,237,166,2,11.5,0,0.5,0,0,0.3,12.3
1,2017-01-01 07:37:13,2017-01-01 07:40:17,1,1.10,1,N,79,137,1,5,0,0.5,1.15,0,0.3,6.95
1,2017-01-01 07:31:13,2017-01-01 07:42:10,1,3.50,1,N,261,186,2,13,0,0.5,0,0,0.3,13.8
2,2017-01-01 07:30:03,2017-01-01 07:43:19,1,4.37,1,N,141,7,1,15,0,0.5,3.16,0,0.3,18.96
2,2017-01-01 07:27:00,2017-01-01 07:31:17,1,1.22,1,N,236,238,2,6,0,0.5,0,0,0.3,6.8
2,2017-01-01 07:25:07,2017-01-01 07:30:12,1,2.06,1,N,237,137,2,7.5,0,0.5,0,0,0.3,8.3
1,2017-01-01 07:13:40,2017-01-01 07:18:57,1,1.00,1,N,166,42,2,6,0,0.5,0,0,0.3,6.8
2,2017-01-01 07:34:38,2017-01-01 07:54:12,1,5.74,1,N,125,61,2,20.5,0,0.5,0,0,0.3,21.3
1,2017-01-01 07:28:31,2017-01-01 07:43:27,1,7.10,1,N,79,83,1,22,0,0.5,4.55,0,0.3,27.35
1,2017-01-01 07:31:04,2017-01-01 07:39:15,1,1.70,1,N,186,50,1,8,0,0.5,2.2,0,0.3,11
2,2017-01-01 07:37:35,2017-01-01 07:44:35,1,1.88,1,N,79,186,1,8,0,0.5,1.76,0,0.3,10.56
1,2017-01-01 07:26:00,2017-01-01 07:49:49,4,12.20,1,N,230,138,2,35,0,0.5,0,5.54,0.3,41.34
2,2017-01-01 07:01:20,2017-01-01 07:02:55,2,.67,1,N,50,163,1,4,0,0.5,1,0,0.3,5.8
1,2017-01-01 07:07:09,2017-01-01 07:22:04,2,5.50,1,N,87,48,3,18,0,0.5,0,0,0.3,18.8
2,2017-01-01 06:55:46,2017-01-01 07:08:07,1,6.40,1,N,141,7,2,18.5,0,0.5,0,5.54,0.3,24.84
2,2017-01-01 06:58:42,2017-01-01 07:03:36,5,.97,1,N,74,74,2,5.5,0,0.5,0,0,0.3,6.3
1,2017-01-01 06:54:10,2017-01-01 07:24:59,1,14.10,1,N,79,14,2,40.5,0,0.5,0,0,0.3,41.3
2,2017-01-01 07:33:53,2017-01-01 07:51:26,6,5.41,1,N,79,43,1,18,0,0.5,3.76,0,0.3,22.56
2,2017-01-01 06:58:18,2017-01-01 07:00:48,1,.57,1,N,170,170,2,4,0,0.5,0,0,0.3,4.8
1,2017-01-01 07:02:20,2017-01-01 07:14:01,1,3.40,1,N,255,65,1,12.5,0,0.5,2.65,0,0.3,15.95
1,2017-01-01 06:54:01,2017-01-01 07:03:01,1,1.90,1,N,168,41,2,9,0,0.5,0,0,0.3,9.8
2,2017-01-01 06:59:12,2017-01-01 07:16:52,6,6.07,1,N,68,80,2,21,0,0.5,0,0,0.3,21.8
2,2017-01-01 07:00:18,2017-01-01 07:00:31,1,.06,1,N,249,158,2,2.5,0,0.5,0,0,0.3,3.3
2,2017-01-01 07:38:14,2017-01-01 07:43:20,2,1.16,1,N,7,7,2,6,0,0.5,0,0,0.3,6.8
1,2017-01-01 07:32:58,2017-01-01 07:44:08,1,4.60,1,N,107,261,2,16,0,0.5,0,0,0.3,16.8
1,2017-01-01 07:23:51,2017-01-01 07:28:44,2,1.10,1,N,145,146,2,6,0,0.5,0,0,0.3,6.8
1,2017-01-01 07:05:05,2017-01-01 07:11:06,1,1.60,1,N,243,153,2,7,0,0.5,0,0,0.3,7.8
1,2017-01-01 07:06:12,2017-01-01 07:37:25,1,21.70,3,N,163,1,1,75.5,0,0,18.45,16.5,0.3,110.75
1,2017-01-01 07:17:58,2017-01-01 07:22:48,1,1.40,1,N,236,237,2,6.5,0,0.5,0,0,0.3,7.3
2,2017-01-01 07:35:30,2017-01-01 07:44:25,1,2.21,1,N,140,75,1,9.5,0,0.5,1,0,0.3,11.3
2,2017-01-01 06:56:06,2017-01-01 07:04:19,1,2.24,1,N,48,237,2,9.5,0,0.5,0,0,0.3,10.3
1,2017-01-01 07:27:46,2017-01-01 07:41:00,1,5.50,1,N,226,148,1,17.5,0,0.5,3,0,0.3,21.3
2,2017-01-01 07:26:55,2017-01-01 07:31:07,1,1.41,1,N,229,137,1,6,0,0.5,1.2,0,0.3,8
1,2017-01-09 11:13:28,2017-01-09 11:25:45,1,3.30,1,N,263,161,1,12.5,0,0.5,2,0,0.3,15.3
2,2017-01-01 07:13:51,2017-01-01 07:15:52,1,.55,1,N,137,164,1,4,0,0.5,0.96,0,0.3,5.76
2,2017-01-01 07:01:24,2017-01-01 07:02:18,6,.51,1,N,179,193,2,3.5,0,0.5,0,0,0.3,4.3
2,2017-01-01 07:13:13,2017-01-01 07:20:34,1,1.86,1,N,68,224,2,8,0,0.5,0,0,0.3,8.8
1,2017-01-01 00:00:05,2017-01-01 00:08:33,2,.90,1,N,48,50,1,7,0.5,0.5,0,0,0.3,8.3
2,2017-01-01 07:18:52,2017-01-01 07:34:00,1,12.11,1,N,132,157,2,33,0,0.5,0,0,0.3,33.8
1,2017-01-01 06:55:08,2017-01-01 07:03:35,1,3.20,1,N,161,74,2,11,0,0.5,0,0,0.3,11.8
2,2017-01-01 07:22:07,2017-01-01 07:30:48,1,1.14,1,N,79,232,2,7.5,0,0.5,0,0,0.3,8.3
2,2017-01-01 07:02:56,2017-01-01 07:24:49,6,18.72,2,N,132,263,1,52,0,0.5,9,5.54,0.3,67.34
1,2017-01-01 00:01:02,2017-01-01 00:09:15,1,1.20,1,N,152,42,2,7.5,0.5,0.5,0,0,0.3,8.8
1,2017-01-01 07:03:15,2017-01-01 07:05:44,1,.80,1,N,249,234,1,4.5,0,0.5,1.05,0,0.3,6.35
1,2017-01-01 07:07:24,2017-01-01 07:16:56,1,2.40,1,N,141,48,2,10,0,0.5,0,0,0.3,10.8
2,2017-01-01 07:26:04,2017-01-01 07:28:50,2,.75,1,N,48,230,1,4.5,0,0.5,2,0,0.3,7.3
1,2017-01-01 07:30:09,2017-01-01 07:36:39,1,1.70,1,N,230,246,2,7.5,0,0.5,0,0,0.3,8.3
1,2017-01-01 07:26:08,2017-01-01 07:43:06,1,6.20,1,N,256,106,2,20,0,0.5,0,0,0.3,20.8
2,2017-01-01 07:25:10,2017-01-01 07:42:04,1,4.67,1,N,79,255,1,16.5,0,0.5,2.22,0,0.3,19.52
1,2017-01-01 07:12:17,2017-01-01 07:16:07,1,1.30,1,N,229,137,2,6,0,0.5,0,0,0.3,6.8
2,2017-01-01 07:03:02,2017-01-01 07:12:45,1,3.60,1,N,239,116,1,12,0,0.5,2.56,0,0.3,15.36
1,2017-01-01 07:25:48,2017-01-01 07:27:02,1,.50,1,N,234,113,1,3.5,0,0.5,0.85,0,0.3,5.15
2,2017-01-01 07:08:01,2017-01-01 07:30:33,1,14.41,1,N,164,138,1,39.5,0,0.5,8.06,0,0.3,48.36
2,2017-01-01 07:10:46,2017-01-01 07:19:55,1,2.92,1,N,107,230,2,10.5,0,0.5,0,0,0.3,11.3
1,2017-01-01 07:24:53,2017-01-01 07:39:31,4,3.40,1,N,246,148,2,14,0,0.5,0,0,0.3,14.8
2,2017-01-01 07:05:49,2017-01-01 07:24:08,6,10.10,1,N,163,138,1,28.5,0,0.5,6.97,5.54,0.3,41.81
1,2017-01-01 07:10:32,2017-01-01 07:51:27,1,18.50,2,N,163,132,1,52,0,0.5,10.55,0,0.3,63.35
1,2017-01-01 07:30:43,2017-01-01 07:43:20,1,5.40,1,N,138,53,1,17,0,0.5,2.2,0,0.3,20
1,2017-01-01 07:05:45,2017-01-01 07:27:41,1,7.20,1,N,4,89,1,24,0,0.5,4.95,0,0.3,29.75
2,2017-01-01 07:20:34,2017-01-01 07:38:00,1,5.33,1,N,229,82,2,18.5,0,0.5,0,0,0.3,19.3
2,2017-01-01 07:13:51,2017-01-01 07:15:52,1,.55,1,N,137,164,1,4,0,0.5,0.96,0,0.3,5.76
