VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type
2,2017-01-27 21:04:53,2017-01-27 21:15:34,N,1,74,262,6,2.15,10,0.5,0.5,2.26,0,,0.3,13.56,1,1
2,2017-01-14 14:07:21,2017-01-14 14:22:38,N,1,65,225,1,3.54,13.5,0,0.5,2.14,0,,0.3,18.39,1,1
1,2017-01-15 00:19:53,2017-01-15 00:22:44,N,1,56,56,1,.70,4.5,0.5,0.5,0,0,,0.3,5.8,2,1
2,2017-01-15 07:39:19,2017-01-15 07:47:48,N,1,7,145,1,2.03,9,0,0.5,2.94,0,,0.3,12.74,1,1
1,2017-01-19 18:00:45,2017-01-19 18:37:44,N,1,196,17,1,8.50,30.5,1,0.5,0,0,,0.3,32.3,1,1
2,2017-01-10 08:22:39,2017-01-10 08:27:50,N,1,92,92,1,.55,5,0,0.5,0,0,,0.3,5.8,2,1
2,2017-01-30 05:31:12,2017-01-30 05:39:00,N,1,256,225,1,1.73,8,0.5,0.5,0,0,,0.3,9.3,2,1
2,2017-01-03 21:09:42,2017-01-03 21:27:59,N,1,95,139,1,8.90,26.5,0.5,0.5,0,0,,0.3,27.8,2,1
2,2017-01-30 17:24:35,2017-01-30 17:40:31,N,1,236,50,1,3.07,13,1,0.5,3.7,0,,0.3,18.5,1,1
2,2017-01-01 01:55:45,2017-01-01 02:04:44,N,1,7,223,1,1.75,8,0.5,0.5,1.86,0,,0.3,11.16,1,1
1,2017-01-10 20:01:31,2017-01-10 20:13:40,N,1,74,42,3,1.90,10,0.5,0.5,0,0,,0.3,11.3,2,1
2,2017-01-14 00:23:38,2017-01-14 00:41:46,N,1,256,37,1,3.53,14.5,0.5,0.5,3.16,0,,0.3,18.96,1,1
2,2017-01-19 15:46:23,2017-01-19 15:52:08,N,1,7,146,1,1.31,6.5,0,0.5,0,0,,0.3,7.3,2,1
2,2017-01-10 14:32:25,2017-01-10 14:36:03,N,1,116,152,1,.78,5,0,0.5,0,0,,0.3,5.8,2,1
2,2017-01-07 18:18:57,2017-01-07 19:13:38,N,1,116,116,1,12.57,43,0,0.5,13.14,0,,0.3,56.94,1,1
2,2017-01-04 00:31:34,2017-01-04 00:38:07,N,1,243,250,1,4.69,14.5,0.5,0.5,0,0,,0.3,15.8,1,1
1,2017-01-02 10:53:38,2017-01-02 11:02:47,N,1,129,83,1,1.30,7.5,0,0.5,0,0,,0.3,8.3,2,1
2,2017-01-18 17:12:49,2017-01-18 17:31:19,N,1,223,7,1,.85,12,1,0.5,2,0,,0.3,15.8,1,1
1,2017-01-05 17:23:37,2017-01-05 17:30:03,N,1,210,210,1,1.00,6.5,1,0.5,1.65,0,,0.3,9.95,1,1
2,2017-01-03 19:43:52,2017-01-03 19:57:46,N,1,145,170,2,2.45,12,1,0.5,0,5.54,,0.3,19.34,2,1
1,2017-01-14 02:38:47,2017-01-14 02:46:27,N,1,49,61,2,1.50,7.5,0.5,0.5,0,0,,0.3,8.8,2,1
1,2017-01-28 03:54:26,2017-01-28 03:59:05,N,1,37,36,1,.70,5,0.5,0.5,0,0,,0.3,6.3,2,1
2,2017-01-30 06:35:05,2017-01-30 06:49:42,N,1,145,186,1,3.26,12.5,0,0.5,5.65,5.54,,0.3,24.49,1,1
2,2017-01-07 21:49:59,2017-01-07 22:00:48,N,1,97,25,6,2.14,9.5,0.5,0.5,2,0,,0.3,12.8,1,1
1,2017-01-14 04:01:15,2017-01-14 04:11:45,N,1,223,129,2,3.60,13,0.5,0.5,0,0,,0.3,14.3,2,1
1,2017-01-29 00:58:44,2017-01-29 01:01:59,N,1,49,17,1,.50,4.5,0.5,0.5,0,0,,0.3,5.8,2,1
2,2017-01-07 18:18:55,2017-01-07 18:32:13,N,1,116,41,1,1.61,9.5,0,0.5,0,0,,0.3,10.3,2,1
2,2017-01-20 22:39:57,2017-01-20 22:55:52,N,1,255,97,1,3.21,13.5,0.5,0.5,0,0,,0.3,14.8,2,1
2,2017-01-03 15:08:00,2017-01-03 15:16:21,N,1,182,213,6,1.39,7.5,0,0.5,0,0,,0.3,8.3,1,1
1,2017-01-05 11:03:20,2017-01-05 11:07:25,N,1,159,42,2,.60,5,0,0.5,0,0,,0.3,5.8,2,1
2,2017-01-15 14:01:07,2017-01-15 14:45:03,N,1,33,216,1,11.20,38,0,0.5,0,0,,0.3,38.8,2,1
1,2017-01-19 10:56:24,2017-01-19 11:11:30,N,1,49,33,1,2.80,13,0,0.5,0,0,,0.3,13.8,2,1
2,2017-01-22 22:29:18,2017-01-22 22:35:00,N,1,247,41,1,1.97,8,0.5,0.5,0,0,,0.3,9.3,2,1
1,2017-01-25 07:14:48,2017-01-25 07:23:40,N,1,116,119,1,1.90,9,0,0.5,0,0,,0.3,9.8,2,1
2,2017-01-10 14:13:18,2017-01-10 14:29:41,N,1,41,263,1,2.85,13,0,0.5,0,0,,0.3,13.8,1,1
2,2017-01-30 23:22:01,2017-01-30 23:48:10,N,1,255,163,1,7.59,25,0.5,0.5,7.89,0,,0.3,34.19,1,1
1,2017-01-04 11:24:42,2017-01-04 11:28:14,N,1,7,7,1,.60,4.5,0,0.5,1,0,,0.3,6.3,1,1
2,2017-01-02 10:01:57,2017-01-02 10:09:05,N,1,226,229,1,2.90,10,0,0.5,0,0,,0.3,10.8,2,1
2,2017-01-10 09:56:57,2017-01-10 10:05:57,N,1,260,82,1,1.46,7.5,0,0.5,0,0,,0.3,8.3,2,1
2,2017-01-03 18:53:52,2017-01-03 19:20:01,N,5,59,229,1,10.74,40,0,0,2,0,,0,42,1,2
2,2017-01-31 18:23:31,2017-01-31 18:33:29,N,1,66,49,1,1.93,9,1,0.5,2,0,,0.3,12.8,1,1
2,2017-01-01 11:47:16,2017-01-01 12:05:36,N,1,75,183,4,10.46,29.5,0,0.5,0,0,,0.3,30.3,1,1
2,2017-01-16 17:05:13,2017-01-16 17:13:35,N,1,75,168,1,2.44,9,0,0.5,0,0,,0.3,9.8,2,1
2,2017-01-22 18:44:43,2017-01-22 19:07:28,N,1,130,81,1,14.80,39.5,0,0.5,0,0,,0.3,40.3,2,1
2,2017-01-22 12:02:21,2017-01-22 12:25:51,N,1,196,76,5,11.00,32,0,0.5,0,0,,0.3,32.8,2,1
2,2017-01-22 18:03:30,2017-01-22 18:09:14,N,1,25,40,1,1.14,5.5,0,0.5,0,0,,0.3,6.3,2,1
2,2017-01-20 12:45:47,2017-01-20 13:13:08,N,1,75,249,1,6.65,25,0,0.5,5.16,0,,0.3,30.96,1,1
2,2017-01-23 15:46:37,2017-01-23 15:50:56,N,1,61,225,1,.75,5,0,0.5,0,0,,0.3,5.8,2,1
1,2017-01-22 16:18:45,2017-01-22 16:25:35,N,1,152,151,1,1.40,7,0,0.5,0,0,,0.3,7.8,2,1
2,2017-01-21 20:54:29,2017-01-21 21:11:13,N,1,134,218,2,5.22,17.5,0.5,0.5,0,0,,0.3,18.8,2,1
2,2017-01-17 15:49:19,2017-01-17 16:03:02,N,1,189,89,1,2.03,10.5,0,0.5,0,0,,0.3,11.3,2,1
2,2017-01-01 03:38:12,2017-01-01 03:45:24,N,1,254,78,2,3.00,10.5,0.5,0.5,0,0,,0.3,11.8,2,1
1,2017-01-05 11:34:32,2017-01-05 11:39:11,N,1,29,210,1,.70,5,0,0.5,1.45,0,,0.3,7.25,1,1
2,2017-01-10 19:36:33,2017-01-10 19:44:15,N,1,260,129,1,1.78,8,1,0.5,2.94,0,,0.3,12.74,1,1
2,2017-01-06 03:37:06,2017-01-06 03:41:09,N,1,129,260,5,.58,4.5,0.5,0.5,0,0,,0.3,5.8,2,1
2,2017-01-28 03:13:18,2017-01-28 03:23:02,N,1,41,116,1,1.72,8.5,0.5,0.5,2.45,0,,0.3,12.25,1,1
2,2017-01-24 17:31:44,2017-01-24 17:37:23,N,1,74,236,2,1.25,6,1,0.5,3,0,,0.3,10.8,1,1
2,2017-01-01 04:26:01,2017-01-01 04:34:08,N,1,129,129,1,.88,7,0.5,0.5,1.66,0,,0.3,9.96,1,1
2,2017-01-27 09:55:26,2017-01-27 10:09:28,N,1,65,33,1,.84,9.5,0,0.5,1.7,0,,0.3,12,1,1
1,2017-01-02 11:54:57,2017-01-02 11:59:11,Y,1,65,97,1,.80,5,0,0.5,1.15,0,,0.3,6.95,1,1
1,2017-01-24 21:39:08,2017-01-24 21:44:37,N,1,43,75,2,.70,5.5,0.5,0.5,2,0,,0.3,8.8,1,1
2,2017-01-10 19:29:41,2017-01-10 19:34:52,N,1,42,42,1,.75,5.5,1,0.5,1,0,,0.3,8.3,1,1
2,2017-01-21 04:41:29,2017-01-21 04:46:01,N,1,179,193,6,1.12,6,0.5,0.5,0,0,,0.3,7.3,2,1
2,2017-01-05 22:22:52,2017-01-05 22:31:40,N,1,196,160,5,2.18,9,0.5,0.5,2,0,,0.3,12.3,1,1
2,2017-01-17 15:59:05,2017-01-17 16:02:56,N,1,65,66,1,.77,5,0,0.5,0,0,,0.3,5.8,2,1
2,2017-01-30 18:40:40,2017-01-30 18:50:46,N,1,74,41,1,1.15,8,1,0.5,2,0,,0.3,11.8,1,1
2,2017-01-07 00:15:17,2017-01-07 00:24:25,N,1,82,129,1,1.18,7.5,0.5,0.5,0,0,,0.3,8.8,1,1
2,2017-01-01 17:45:10,2017-01-01 17:58:06,N,1,41,43,1,2.06,10.5,0,0.5,1.5,0,,0.3,12.8,1,1
2,2017-01-08 20:17:31,2017-01-08 20:34:43,N,1,95,82,1,3.30,13.5,0.5,0.5,0,0,,0.3,14.8,2,1
2,2017-01-27 20:18:35,2017-01-27 20:29:08,N,1,181,181,1,1.38,8.5,0.5,0.5,1.96,0,,0.3,11.76,1,1
2,2017-01-13 18:41:09,2017-01-13 18:54:32,N,1,129,129,1,1.41,9.5,1,0.5,0,0,,0.3,11.3,1,1
2,2017-01-08 11:39:04,2017-01-08 11:47:41,N,1,74,236,1,2.22,9,0,0.5,0,0,,0.3,9.8,2,1
2,2017-01-28 01:35:12,2017-01-28 01:53:14,N,1,80,89,1,8.83,26,0.5,0.5,6.5,0,,0.3,33.8,1,1
2,2017-01-23 18:06:12,2017-01-23 18:26:23,N,1,61,72,1,2.37,13.5,1,0.5,0,0,,0.3,15.3,2,1
2,2017-01-29 13:46:54,2017-01-29 13:58:05,N,1,145,138,1,7.59,21.5,0,0.5,0,0,,0.3,22.3,2,1
2,2017-01-21 23:08:15,2017-01-21 23:12:54,N,1,25,106,1,.96,5.5,0.5,0.5,0,0,,0.3,6.8,2,1
2,2017-01-28 20:06:07,2017-01-28 20:11:09,N,1,255,256,1,.64,5,0.5,0.5,1.58,0,,0.3,7.88,1,1
2,2017-01-24 18:10:53,2017-01-24 18:48:25,N,1,76,76,2,4.07,24.5,1,0.5,5.26,0,,0.3,36.51,1,1
2,2017-01-26 10:56:40,2017-01-26 11:16:03,N,1,25,217,1,2.49,14,0,0.5,0,0,,0.3,14.8,2,1
2,2017-01-04 13:13:43,2017-01-04 13:18:36,N,1,260,129,1,.72,5,0,0.5,0,0,,0.3,5.8,2,1
1,2017-01-13 18:02:46,2017-01-13 18:17:03,N,1,168,75,1,2.90,12,1,0.5,1.2,0,,0.3,15,1,1
2,2017-01-17 07:56:35,2017-01-17 08:05:12,N,1,82,102,1,2.09,9.5,0,0.5,0,0,,0.3,10.3,1,1
2,2017-01-24 09:54:40,2017-01-24 10:04:01,N,1,226,226,1,1.10,7.5,0,0.5,1.24,0,,0.3,9.54,1,1
2,2017-01-12 04:44:32,2017-01-12 04:50:26,N,1,95,56,1,1.54,7,0.5,0.5,0,0,,0.3,8.3,2,1
2,2017-01-23 01:05:46,2017-01-23 01:10:49,N,1,92,73,2,1.33,6,0.5,0.5,1.46,0,,0.3,8.76,1,1
2,2017-01-30 22:40:14,2017-01-30 22:47:15,N,1,42,41,1,1.45,7.5,0.5,0.5,0,0,,0.3,8.8,2,1
2,2017-01-28 15:17:26,2017-01-28 15:30:11,N,1,152,244,1,1.89,9,0,0.5,0,0,,0.3,9.8,2,1
1,2017-01-07 00:23:02,2017-01-07 00:26:57,N,1,256,80,1,.90,5,0.5,0.5,0,0,,0.3,6.3,2,1
2,2017-01-13 17:12:02,2017-01-13 17:22:44,N,1,43,236,3,1.16,8.5,1,0.5,2.58,0,,0.3,12.88,1,1
2,2017-01-10 09:17:52,2017-01-10 09:25:00,N,1,244,243,1,1.05,7,0,0.5,0,0,,0.3,7.8,2,1
2,2017-01-27 10:39:36,2017-01-27 10:58:34,N,1,24,42,1,3.04,14,0,0.5,0,0,,0.3,14.8,2,1
1,2017-01-19 20:46:55,2017-01-19 20:52:51,N,1,127,244,3,2.40,9,0.5,0.5,0,0,,0.3,10.3,2,1
2,2017-01-26 18:42:04,2017-01-26 18:49:04,N,1,41,42,1,1.73,7.5,1,0.5,0,0,,0.3,9.3,2,1
2,2017-01-29 15:52:12,2017-01-29 16:00:41,N,1,74,141,1,2.37,9.5,0,0.5,2.06,0,,0.3,12.36,1,1
2,2017-01-16 02:32:59,2017-01-16 02:48:50,N,1,61,39,1,4.88,16.5,0.5,0.5,0,0,,0.3,17.8,1,1
2,2017-01-19 08:34:37,2017-01-19 08:39:40,N,1,83,260,1,.65,5.5,0,0.5,0.69,0,,0.3,8.94,1,1
2,2017-01-15 01:24:59,2017-01-15 01:42:44,N,1,112,36,2,3.25,14.5,0.5,0.5,3.95,0,,0.3,19.75,1,1
2,2017-01-08 18:37:56,2017-01-08 18:51:20,N,1,97,225,1,2.90,11.5,0,0.5,0,0,,0.3,12.3,2,1
2,2017-01-11 19:33:23,2017-01-11 19:37:24,N,1,97,49,1,.88,5,1,0.5,0,0,,0.3,6.8,2,1
2,2017-01-30 10:32:32,2017-01-30 10:40:49,N,1,181,97,2,1.29,7.5,0,0.5,2.49,0,,0.3,10.79,1,1
2,2017-01-03 19:51:13,2017-01-03 19:55:43,N,1,43,263,1,.92,5.5,1,0.5,0,0,,0.3,7.3,2,1
1,2017-01-28 13:37:27,2017-01-28 13:54:32,N,1,33,255,1,5.10,17.5,0,0.5,1.83,0,,0.3,20.13,1,1
1,2017-01-21 22:13:48,2017-01-21 22:38:45,N,1,181,112,1,4.90,20.5,0.5,0.5,0,0,,0.3,21.8,2,1
2,2017-01-17 17:16:23,2017-01-17 17:25:00,N,1,260,129,1,1.30,7.5,1,0.5,0,0,,0.3,9.3,2,1
2,2017-01-12 10:39:47,2017-01-12 10:48:37,N,1,244,152,1,2.02,8.5,0,0.5,1,0,,0.3,10.3,1,1
2,2017-01-06 16:20:42,2017-01-06 16:26:56,N,1,112,256,1,1.15,6.5,1,0.5,1.66,0,,0.3,9.96,1,1
2,2017-01-01 17:05:18,2017-01-01 17:18:06,N,1,74,262,2,2.76,12,0,0.5,2,0,,0.3,14.8,1,1
1,2017-01-09 11:41:50,2017-01-09 11:52:59,N,1,7,7,1,1.10,8.5,0,0.5,0,0,,0.3,9.3,2,1
2,2017-01-22 15:41:53,2017-01-22 16:06:37,N,1,226,173,1,3.50,17,0,0.5,0,0,,0.3,17.8,2,1
2,2017-01-03 10:20:26,2017-01-03 10:32:10,N,1,226,83,1,1.85,10,0,0.5,0,0,,0.3,10.8,2,1
1,2017-01-21 17:10:28,2017-01-21 17:18:49,N,1,97,97,1,.00,6.5,0,0.5,0,0,,0.3,7.3,2,1
2,2017-01-27 13:19:34,2017-01-27 13:38:40,N,1,166,230,1,5.08,18.5,0,0.5,0,0,,0.3,19.3,2,1
2,2017-01-07 05:02:41,2017-01-07 05:16:24,N,1,36,17,1,2.70,12,0.5,0.5,2.66,0,,0.3,15.96,1,1
2,2017-01-28 23:24:34,2017-01-28 23:37:41,N,1,65,181,1,2.60,11.5,0.5,0.5,2.56,0,,0.3,15.36,1,1
2,2017-01-17 19:21:07,2017-01-17 19:27:13,N,1,112,112,1,1.50,6.5,1,0.5,1.5,0,,0.3,9.8,1,1
2,2017-01-06 01:32:05,2017-01-06 01:42:11,N,1,36,112,1,3.00,10.5,0.5,0.5,2.36,0,,0.3,14.16,1,1
2,2017-01-27 22:42:07,2017-01-27 23:07:48,N,5,166,126,1,5.81,20,0,0,0,0,,0,20,2,2
2,2017-01-29 18:58:31,2017-01-29 19:07:50,N,1,92,53,1,1.98,9,0,0.5,0,0,,0.3,9.8,2,1
2,2017-01-17 03:02:13,2017-01-17 03:11:04,N,1,256,17,1,2.27,9.5,0.5,0.5,2.16,0,,0.3,12.96,1,1
2,2017-01-11 10:50:16,2017-01-11 11:04:36,N,1,74,237,1,2.67,11.5,0,0.5,2.46,0,,0.3,14.76,1,1
2,2017-01-20 08:44:53,2017-01-20 08:51:01,N,1,181,106,1,.99,6,0,0.5,1.36,0,,0.3,8.16,1,1
2,2017-01-22 14:53:22,2017-01-22 15:00:33,N,1,33,25,1,1.31,6.5,0,0.5,2.19,0,,0.3,9.49,1,1
2,2017-01-18 21:49:17,2017-01-18 21:56:09,N,1,106,195,1,1.15,7,0.5,0.5,0,0,,0.3,8.3,2,1
2,2017-01-17 05:43:38,2017-01-17 05:48:16,N,1,134,121,1,1.80,7,0.5,0.5,0,0,,0.3,8.3,1,1
2,2017-01-28 22:14:14,2017-01-28 22:30:36,N,1,129,7,1,2.12,12.5,0.5,0.5,0,0,,0.3,13.8,2,1
2,2017-01-22 03:53:51,2017-01-22 04:03:42,N,1,82,173,1,1.65,8.5,0.5,0.5,0,0,,0.3,9.8,2,1
2,2017-01-18 21:40:46,2017-01-18 21:44:18,N,1,181,181,1,.49,4.5,0.5,0.5,0.5,0,,0.3,6.3,1,1
2,2017-01-22 01:05:19,2017-01-22 01:12:56,N,1,95,135,1,2.05,8.5,0.5,0.5,0,0,,0.3,9.8,2,1
2,2017-01-22 22:23:03,2017-01-22 22:27:03,N,1,42,116,1,.66,5,0.5,0.5,0,0,,0.3,6.3,2,1
2,2017-01-18 18:37:16,2017-01-18 18:45:06,N,1,25,52,1,1.30,7.5,1,0.5,1.86,0,,0.3,11.16,1,1
1,2017-01-05 13:36:53,2017-01-05 13:50:37,N,1,17,188,1,2.20,11,0,0.5,0,0,,0.3,11.8,2,1
2,2017-01-31 15:22:11,2017-01-31 15:26:00,N,1,255,112,1,.64,4.5,0,0.5,1.32,0,,0.3,6.62,1,1
2,2017-01-14 23:55:19,2017-01-14 23:57:35,N,1,74,41,1,.45,4,0.5,0.5,1.06,0,,0.3,6.36,1,1
2,2017-01-05 23:24:38,2017-01-05 23:28:52,N,1,65,97,2,1.04,5.5,0.5,0.5,0,0,,0.3,6.8,1,1
2,2017-01-22 14:26:01,2017-01-22 14:55:30,N,1,65,48,1,6.44,25,0,0.5,5.16,0,,0.3,30.96,1,1
2,2017-01-25 19:48:58,2017-01-25 19:52:36,N,1,146,7,1,1.38,6,1,0.5,1.17,0,,0.3,8.97,1,1
2,2017-01-12 01:33:45,2017-01-12 01:36:36,N,1,7,179,1,.71,4.5,0.5,0.5,1.74,0,,0.3,7.54,1,1
2,2017-01-28 10:19:01,2017-01-28 10:29:29,N,1,7,223,1,1.72,8.5,0,0.5,0,0,,0.3,9.3,2,1
1,2017-01-11 17:38:21,2017-01-11 17:47:23,N,1,41,74,1,1.30,7.5,1,0.5,1,0,,0.3,10.3,1,1
2,2017-01-14 15:13:18,2017-01-14 15:34:07,N,1,25,256,1,4.59,17.5,0,0.5,0,0,,0.3,18.3,2,1
2,2017-01-04 17:38:53,2017-01-04 17:44:31,N,1,82,260,5,.78,5.5,1,0.5,0,0,,0.3,7.3,2,1
2,2017-01-29 19:11:42,2017-01-29 19:15:55,N,1,33,52,1,.65,5,0,0.5,0,0,,0.3,5.8,2,1
2,2017-01-30 13:00:16,2017-01-30 13:05:42,N,1,49,61,2,.83,5.5,0,0.5,1,0,,0.3,7.3,1,1
2,2017-01-21 18:50:08,2017-01-21 18:55:33,N,1,43,238,1,1.16,6,0,0.5,0,0,,0.3,6.8,2,1
2,2017-01-20 15:03:24,2017-01-20 15:11:20,N,1,82,129,3,.83,6.5,0,0.5,0,0,,0.3,7.3,2,1
2,2017-01-23 22:23:39,2017-01-23 22:29:45,N,1,226,7,1,1.88,8,0.5,0.5,2.79,0,,0.3,12.09,1,1
1,2017-01-15 23:18:29,2017-01-15 23:23:51,N,1,255,255,1,1.10,6,0.5,0.5,1.45,0,,0.3,8.75,1,1
2,2017-01-19 17:31:23,2017-01-19 17:45:57,N,1,66,211,1,2.57,12,1,0.5,2.76,0,,0.3,16.56,1,1
2,2017-01-13 09:10:55,2017-01-13 09:19:06,N,1,75,236,1,1.13,7,0,0.5,1.56,0,,0.3,9.36,1,1
2,2017-01-14 17:02:55,2017-01-14 17:10:05,N,1,255,256,1,.95,6.5,0,0.5,0,0,,0.3,7.3,2,1
2,2017-01-02 03:54:45,2017-01-02 04:06:11,N,5,228,65,1,4.75,45,0,0,0,0,,0,45,2,2
2,2017-01-18 17:14:45,2017-01-18 17:20:12,N,1,75,74,1,1.33,6.5,1,0.5,0,0,,0.3,8.3,2,1
2,2017-01-22 00:48:06,2017-01-22 01:02:03,N,1,112,61,1,4.52,15.5,0.5,0.5,2.52,0,,0.3,19.32,1,1
2,2017-01-28 17:29:11,2017-01-28 17:45:11,N,1,52,181,1,2.46,12.5,0,0.5,2.66,0,,0.3,15.96,1,1
2,2017-01-04 16:09:30,2017-01-04 16:20:57,N,1,20,174,1,2.42,10.5,1,0.5,0,0,,0.3,12.3,1,1
2,2017-01-18 14:14:32,2017-01-18 14:34:42,N,1,7,92,1,5.33,19,0,0.5,0,0,,0.3,19.8,2,1
2,2017-01-25 12:53:20,2017-01-25 13:08:02,N,1,7,7,1,1.58,10.5,0,0.5,2,0,,0.3,13.3,1,1
1,2017-01-03 19:59:44,2017-01-03 20:03:14,N,1,65,66,1,.90,5,0.5,0.5,0,0,,0.3,6.3,2,1
1,2017-01-17 16:24:04,2017-01-17 17:59:55,N,5,56,173,1,10.70,0,0,0,0,0,,0,0,2,2
2,2017-01-02 23:17:21,2017-01-02 23:22:05,N,1,97,65,1,1.05,5.5,0.5,0.5,0,0,,0.3,6.8,2,1
VTS,2014-05-01 19:32:00,2014-05-01 19:40:00,1,1.49,-73.955804999999998,40.764200000000002,1,,-73.956805000000003,40.779114999999997,CRD,7.5,1,0.5,1.7,0,10.699999999999999
VTS,2014-05-14 18:36:00,2014-05-14 18:48:00,1,1.6200000000000001,-73.982214999999997,40.766620000000003,1,,-74.002506999999994,40.760727000000003,CRD,9,1,0.5,2.5,0,13
CMT,2014-05-22 15:37:51,2014-05-22 15:46:09,1,0.80000000000000004,-73.984745000000004,40.724259000000004,1,N,-73.988665999999995,40.733075999999997,CRD,7,0,0.5,1,0,8.5
VTS,2014-05-01 15:36:00,2014-05-01 15:57:00,1,2.0299999999999998,-73.980091999999999,40.722270000000002,1,,-73.980097999999998,40.74568,CRD,14,0,0.5,2.7999999999999998,0,17.300000000000001
VTS,2014-05-16 07:28:00,2014-05-16 07:34:00,1,1.53,-73.995131999999998,40.733975000000001,1,,-73.987335000000002,40.750546999999997,CRD,6.5,0,0.5,1.3,0,8.3000000000000007
VTS,2014-05-05 18:14:00,2014-05-05 18:24:00,1,1.8500000000000001,-73.953339999999997,40.779381999999998,1,,-73.970870000000005,40.795774999999999,CSH,9,1,0.5,0,0,10.5
CMT,2014-05-30 08:51:41,2014-05-30 10:04:06,1,12.1,-73.989061000000007,40.744723999999998,1,N,-73.890664000000001,40.870097000000001,CSH,53,0,0.5,0,0,53.5
CMT,2014-05-15 22:29:44,2014-05-15 22:35:14,4,1.1000000000000001,-73.978352000000001,40.773158000000002,1,N,-73.983035000000001,40.765903999999999,CSH,6,0.5,0.5,0,0,7
CMT,2014-05-17 03:23:40,2014-05-17 03:31:48,1,2.1000000000000001,-74.002115000000003,40.719608999999998,1,N,-73.994592999999995,40.745313000000003,CRD,9,0.5,0.5,2,0,12
CMT,2014-05-17 18:13:56,2014-05-17 18:27:11,1,2,-73.975167999999996,40.759960999999997,1,N,-73.982017999999997,40.776910000000001,CSH,10.5,0,0.5,0,0,11
CMT,2014-05-22 21:31:09,2014-05-22 21:36:30,2,0.69999999999999996,-74.005108000000007,40.741663000000003,1,N,-73.997377999999998,40.746723000000003,CSH,5.5,0.5,0.5,0,0,6.5
VTS,2014-05-26 01:53:00,2014-05-26 02:08:00,1,4.79,-73.982789999999994,40.756757,1,,-73.909557000000007,40.745404999999998,CSH,16.5,0.5,0.5,0,0,17.5
